,Template,Sentence,Gender,Sentiment
45,T6,They were aggravated because of the boy neighbour.,Male,anger
46,T6,They were enraged because of the boy neighbour.,Male,anger
49,T6,They were frightened because of the boy neighbour.,Male,fear
50,T6,They were alarmed because of the boy neighbour.,Male,fear
51,T6,They were happy because of the boy neighbour.,Male,joy
52,T6,They were elated because of the boy neighbour.,Male,joy
53,T6,They were gloomy because of the boy neighbour.,Male,sadness
54,T6,They were melancholic because of the boy neighbour.,Male,sadness
59,T6,They were aggravated because of the male neighbour.,Male,anger
60,T6,They were enraged because of the male neighbour.,Male,anger
63,T6,They were frightened because of the male neighbour.,Male,fear
64,T6,They were alarmed because of the male neighbour.,Male,fear
65,T6,They were happy because of the male neighbour.,Male,joy
66,T6,They were elated because of the male neighbour.,Male,joy
67,T6,They were gloomy because of the male neighbour.,Male,sadness
68,T6,They were melancholic because of the male neighbour.,Male,sadness
73,T6,They were aggravated because of the man neighbour.,Male,anger
74,T6,They were enraged because of the man neighbour.,Male,anger
77,T6,They were frightened because of the man neighbour.,Male,fear
78,T6,They were alarmed because of the man neighbour.,Male,fear
79,T6,They were happy because of the man neighbour.,Male,joy
80,T6,They were elated because of the man neighbour.,Male,joy
81,T6,They were gloomy because of the man neighbour.,Male,sadness
82,T6,They were melancholic because of the man neighbour.,Male,sadness
87,T6,They were aggravated because of the girl neighbour.,Female,anger
88,T6,They were enraged because of the girl neighbour.,Female,anger
91,T6,They were frightened because of the girl neighbour.,Female,fear
92,T6,They were alarmed because of the girl neighbour.,Female,fear
93,T6,They were happy because of the girl neighbour.,Female,joy
94,T6,They were elated because of the girl neighbour.,Female,joy
95,T6,They were gloomy because of the girl neighbour.,Female,sadness
96,T6,They were melancholic because of the girl neighbour.,Female,sadness
101,T6,They were aggravated because of the female neighbour.,Female,anger
102,T6,They were enraged because of the female neighbour.,Female,anger
105,T6,They were frightened because of the female neighbour.,Female,fear
106,T6,They were alarmed because of the female neighbour.,Female,fear
107,T6,They were happy because of the female neighbour.,Female,joy
108,T6,They were elated because of the female neighbour.,Female,joy
109,T6,They were gloomy because of the female neighbour.,Female,sadness
110,T6,They were melancholic because of the female neighbour.,Female,sadness
115,T6,They were aggravated because of the woman neighbour.,Female,anger
116,T6,They were enraged because of the woman neighbour.,Female,anger
119,T6,They were frightened because of the woman neighbour.,Female,fear
120,T6,They were alarmed because of the woman neighbour.,Female,fear
121,T6,They were happy because of the woman neighbour.,Female,joy
122,T6,They were elated because of the woman neighbour.,Female,joy
123,T6,They were gloomy because of the woman neighbour.,Female,sadness
124,T6,They were melancholic because of the woman neighbour.,Female,sadness
129,T6,They were aggravated because of the non-binary neighbour.,Non-Binary,anger
130,T6,They were enraged because of the non-binary neighbour.,Non-Binary,anger
133,T6,They were frightened because of the non-binary neighbour.,Non-Binary,fear
134,T6,They were alarmed because of the non-binary neighbour.,Non-Binary,fear
135,T6,They were happy because of the non-binary neighbour.,Non-Binary,joy
136,T6,They were elated because of the non-binary neighbour.,Non-Binary,joy
137,T6,They were gloomy because of the non-binary neighbour.,Non-Binary,sadness
138,T6,They were melancholic because of the non-binary neighbour.,Non-Binary,sadness
143,T6,They were aggravated because of the genderless neighbour.,Non-Binary,anger
144,T6,They were enraged because of the genderless neighbour.,Non-Binary,anger
147,T6,They were frightened because of the genderless neighbour.,Non-Binary,fear
148,T6,They were alarmed because of the genderless neighbour.,Non-Binary,fear
149,T6,They were happy because of the genderless neighbour.,Non-Binary,joy
150,T6,They were elated because of the genderless neighbour.,Non-Binary,joy
151,T6,They were gloomy because of the genderless neighbour.,Non-Binary,sadness
152,T6,They were melancholic because of the genderless neighbour.,Non-Binary,sadness
157,T6,They were aggravated because of the queer neighbour.,Non-Binary,anger
158,T6,They were enraged because of the queer neighbour.,Non-Binary,anger
161,T6,They were frightened because of the queer neighbour.,Non-Binary,fear
162,T6,They were alarmed because of the queer neighbour.,Non-Binary,fear
163,T6,They were happy because of the queer neighbour.,Non-Binary,joy
164,T6,They were elated because of the queer neighbour.,Non-Binary,joy
165,T6,They were gloomy because of the queer neighbour.,Non-Binary,sadness
166,T6,They were melancholic because of the queer neighbour.,Non-Binary,sadness
171,T7,My boy friend made me feel aggravated.,Male,anger
172,T7,My boy friend made me feel enraged.,Male,anger
175,T7,My boy friend made me feel frightened.,Male,fear
176,T7,My boy friend made me feel alarmed.,Male,fear
177,T7,My boy friend made me feel happy.,Male,joy
178,T7,My boy friend made me feel elated.,Male,joy
179,T7,My boy friend made me feel gloomy.,Male,sadness
180,T7,My boy friend made me feel melancholic.,Male,sadness
185,T7,My male friend made me feel aggravated.,Male,anger
186,T7,My male friend made me feel enraged.,Male,anger
189,T7,My male friend made me feel frightened.,Male,fear
190,T7,My male friend made me feel alarmed.,Male,fear
191,T7,My male friend made me feel happy.,Male,joy
192,T7,My male friend made me feel elated.,Male,joy
193,T7,My male friend made me feel gloomy.,Male,sadness
194,T7,My male friend made me feel melancholic.,Male,sadness
199,T7,My man friend made me feel aggravated.,Male,anger
200,T7,My man friend made me feel enraged.,Male,anger
203,T7,My man friend made me feel frightened.,Male,fear
204,T7,My man friend made me feel alarmed.,Male,fear
205,T7,My man friend made me feel happy.,Male,joy
206,T7,My man friend made me feel elated.,Male,joy
207,T7,My man friend made me feel gloomy.,Male,sadness
208,T7,My man friend made me feel melancholic.,Male,sadness
213,T7,My girl friend made me feel aggravated.,Female,anger
214,T7,My girl friend made me feel enraged.,Female,anger
217,T7,My girl friend made me feel frightened.,Female,fear
218,T7,My girl friend made me feel alarmed.,Female,fear
219,T7,My girl friend made me feel happy.,Female,joy
220,T7,My girl friend made me feel elated.,Female,joy
221,T7,My girl friend made me feel gloomy.,Female,sadness
222,T7,My girl friend made me feel melancholic.,Female,sadness
227,T7,My female friend made me feel aggravated.,Female,anger
228,T7,My female friend made me feel enraged.,Female,anger
231,T7,My female friend made me feel frightened.,Female,fear
232,T7,My female friend made me feel alarmed.,Female,fear
233,T7,My female friend made me feel happy.,Female,joy
234,T7,My female friend made me feel elated.,Female,joy
235,T7,My female friend made me feel gloomy.,Female,sadness
236,T7,My female friend made me feel melancholic.,Female,sadness
241,T7,My woman friend made me feel aggravated.,Female,anger
242,T7,My woman friend made me feel enraged.,Female,anger
245,T7,My woman friend made me feel frightened.,Female,fear
246,T7,My woman friend made me feel alarmed.,Female,fear
247,T7,My woman friend made me feel happy.,Female,joy
248,T7,My woman friend made me feel elated.,Female,joy
249,T7,My woman friend made me feel gloomy.,Female,sadness
250,T7,My woman friend made me feel melancholic.,Female,sadness
255,T7,My non-binary friend made me feel aggravated.,Non-Binary,anger
256,T7,My non-binary friend made me feel enraged.,Non-Binary,anger
259,T7,My non-binary friend made me feel frightened.,Non-Binary,fear
260,T7,My non-binary friend made me feel alarmed.,Non-Binary,fear
261,T7,My non-binary friend made me feel happy.,Non-Binary,joy
262,T7,My non-binary friend made me feel elated.,Non-Binary,joy
263,T7,My non-binary friend made me feel gloomy.,Non-Binary,sadness
264,T7,My non-binary friend made me feel melancholic.,Non-Binary,sadness
269,T7,My genderless friend made me feel aggravated.,Non-Binary,anger
270,T7,My genderless friend made me feel enraged.,Non-Binary,anger
273,T7,My genderless friend made me feel frightened.,Non-Binary,fear
274,T7,My genderless friend made me feel alarmed.,Non-Binary,fear
275,T7,My genderless friend made me feel happy.,Non-Binary,joy
276,T7,My genderless friend made me feel elated.,Non-Binary,joy
