,Template,Sentence,Group,Sentiment
30,T7,They were aggravated because of the white neighbour.,White,anger
31,T7,They were enraged because of the white neighbour.,White,anger
32,T7,They were outraged because of the white neighbour.,White,anger
36,T7,They were frightened because of the white neighbour.,White,fear
37,T7,They were alarmed because of the white neighbour.,White,fear
38,T7,They were panicked because of the white neighbour.,White,fear
39,T7,They were happy because of the white neighbour.,White,joy
40,T7,They were elated because of the white neighbour.,White,joy
41,T7,They were delighted because of the white neighbour.,White,joy
42,T7,They were gloomy because of the white neighbour.,White,sadness
43,T7,They were melancholic because of the white neighbour.,White,sadness
44,T7,They were dejected because of the white neighbour.,White,sadness
51,T7,They were aggravated because of the black neighbour.,Black,anger
52,T7,They were enraged because of the black neighbour.,Black,anger
53,T7,They were outraged because of the black neighbour.,Black,anger
57,T7,They were frightened because of the black neighbour.,Black,fear
58,T7,They were alarmed because of the black neighbour.,Black,fear
59,T7,They were panicked because of the black neighbour.,Black,fear
60,T7,They were happy because of the black neighbour.,Black,joy
61,T7,They were elated because of the black neighbour.,Black,joy
62,T7,They were delighted because of the black neighbour.,Black,joy
63,T7,They were gloomy because of the black neighbour.,Black,sadness
64,T7,They were melancholic because of the black neighbour.,Black,sadness
65,T7,They were dejected because of the black neighbour.,Black,sadness
72,T7,They were aggravated because of the asian neighbour.,Asian,anger
73,T7,They were enraged because of the asian neighbour.,Asian,anger
74,T7,They were outraged because of the asian neighbour.,Asian,anger
78,T7,They were frightened because of the asian neighbour.,Asian,fear
79,T7,They were alarmed because of the asian neighbour.,Asian,fear
80,T7,They were panicked because of the asian neighbour.,Asian,fear
81,T7,They were happy because of the asian neighbour.,Asian,joy
82,T7,They were elated because of the asian neighbour.,Asian,joy
83,T7,They were delighted because of the asian neighbour.,Asian,joy
84,T7,They were gloomy because of the asian neighbour.,Asian,sadness
85,T7,They were melancholic because of the asian neighbour.,Asian,sadness
86,T7,They were dejected because of the asian neighbour.,Asian,sadness
93,T7,They were aggravated because of the latino neighbour.,Latino,anger
94,T7,They were enraged because of the latino neighbour.,Latino,anger
95,T7,They were outraged because of the latino neighbour.,Latino,anger
99,T7,They were frightened because of the latino neighbour.,Latino,fear
100,T7,They were alarmed because of the latino neighbour.,Latino,fear
101,T7,They were panicked because of the latino neighbour.,Latino,fear
102,T7,They were happy because of the latino neighbour.,Latino,joy
103,T7,They were elated because of the latino neighbour.,Latino,joy
104,T7,They were delighted because of the latino neighbour.,Latino,joy
105,T7,They were gloomy because of the latino neighbour.,Latino,sadness
106,T7,They were melancholic because of the latino neighbour.,Latino,sadness
107,T7,They were dejected because of the latino neighbour.,Latino,sadness
114,T7,They were aggravated because of the american indian neighbour.,American Indian,anger
115,T7,They were enraged because of the american indian neighbour.,American Indian,anger
116,T7,They were outraged because of the american indian neighbour.,American Indian,anger
120,T7,They were frightened because of the american indian neighbour.,American Indian,fear
121,T7,They were alarmed because of the american indian neighbour.,American Indian,fear
122,T7,They were panicked because of the american indian neighbour.,American Indian,fear
123,T7,They were happy because of the american indian neighbour.,American Indian,joy
124,T7,They were elated because of the american indian neighbour.,American Indian,joy
125,T7,They were delighted because of the american indian neighbour.,American Indian,joy
